cbsa_code,cbsa_name,year,total_employed,area_sq_miles,total_employment_density,log_employment_density,manufacturing_density,professional_density,healthcare_density,manufacturing_share,professional_share,healthcare_share,industry_diversity,employment_density_z
10100,"Aberdeen, SD Micro Area",2011,21796,2875.488159861383,7.579930359042309,2.149425796805195,0.38602141211859803,0.07372661204427278,0.0507739875399237,0.050926775555147734,0.009726555331253441,0.006698476784731143,0.9639798873593917,-0.5681135318415492
10100,"Aberdeen, SD Micro Area",2012,22095,2875.488159861383,7.683912703387769,2.161472199384653,0.3442893675652361,0.0792908846513877,0.04694855012253219,0.04480651731160896,0.01031907671418873,0.006109979633401222,0.96654598902546,-0.5671957945995462
10100,"Aberdeen, SD Micro Area",2013,22264,2875.488159861383,7.742685332800421,2.1682173887927982,0.38219597470120653,0.07650874834783024,0.03894990824980449,0.049362199065756375,0.009881422924901186,0.005030542579949695,0.9684861695101245,-0.5666770735497183
10100,"Aberdeen, SD Micro Area",2014,22721,2875.488159861383,7.901614869141141,2.1862327062496796,0.35993888427274684,0.05459942495731522,0.03860214121185981,0.04555257251001276,0.006909907134369086,0.004885348356146297,0.9711181910255468,-0.565274378166456
10100,"Aberdeen, SD Micro Area",2015,22832,2875.488159861383,7.940217010353001,2.1905598629795144,0.3522880094379638,0.07755204946166429,0.03929767528774917,0.044367554309740716,0.009766993693062368,0.0049491941135248775,0.9734396968147092,-0.564933679725445
10100,"Aberdeen, SD Micro Area",2016,22792,2875.488159861383,7.926306328835213,2.189002684331538,0.2747359599762995,0.07476991315810683,0.04868738531225561,0.03466128466128466,0.009433134433134434,0.006142506142506142,0.9745470806479055,-0.5650564539384219
10100,"Aberdeen, SD Micro Area",2017,22744,2875.488159861383,7.909613511013868,2.187130863551322,0.3237711123264998,0.05946816348854078,0.03790660713597044,0.04093387266971509,0.00751846640872318,0.0047924727400633135,0.9731603772476078,-0.5652037829939942
10100,"Aberdeen, SD Micro Area",2018,22717,2875.488159861383,7.9002238009893615,2.1860764226005145,0.4030619969778875,0.05738156126087268,0.03755884009802576,0.05101906061539816,0.007263283003917771,0.004754148875291631,0.969850693682713,-0.5652866555877537
10100,"Aberdeen, SD Micro Area",2019,22863,2875.488159861383,7.9509977885292855,2.1917650108246765,0.38636917915654273,0.05738156126087268,0.03790660713597044,0.048593797839303676,0.0072169006692035164,0.004767528320867778,0.971059103328671,-0.5648385297103877
10100,"Aberdeen, SD Micro Area",2021,22877,2875.488159861383,7.955866527060511,2.192308795438821,0.4656600638079304,0.04833961827431093,0.02886466414940868,0.058530401713511385,0.006075971499759584,0.0036280980897845,0.9673917100687855,-0.5647955587358457
